Class Index,Text
0,hide new secretions in parent units
0,"without wit , just tedious gibberish"
1,a man who likes his characters and communicates with a kind of beautiful human nature .
0,with complete satisfaction staying exactly the same
0,in the worst revenge clichés the filmmakers could come up with . . .
0,of course it 's too tragic for such superficial treatment . . .
1,proof that a director in hollywood movies like patriot games can still make a little personal movie with a sense of emotion .
1,saucy !
0,the suicide of a 15 year old boy
1,a deeper reflection than in most right thinking films .
0,a absurd obsession
0,for the moviegoers who complain that they are not making films as much as they used to .
0,in a place where nothing happens
0,by the way the film was bad
0,the dignity of an idiotic story
1,great musicians !
0,a cold film
1,his usual intelligence and cunning .
0,with an unnecessary concept
1,"the swim is mainly about the face of the young woman and the cast of an actress , whose face reflects the girl 's fears and desires , will succeed ."
1,equal to original and sometimes even to bet .
1,"nothing more to do than watch karen black , who is in the eye of the storm as a fringe feminist conspiracy theory with the name dirty dick ."
1,smile on your face .
1,thanks to brave and unhibited performances .
0,in excruciatingly unfunny and excruciatingly banal
1,enriched imaginatively mixed anticlimactic spirits .
0,"in the worst half of the dragonfly , where it does n't happen , or in the part where it 's happening . . ."
1,world cinema !
1,an excellent alternative to viewing .
0,"from the start of the plot , nothing but meaningless clichencies . . ."
0,a stilted action
1,all cylinders !
0,"in this film , which is often preachy and underdone , it does not attract much attention ."
0,by this year 's worst film
0,on the sit
1,more than just another clone of best man weaving themes into this hilarious movie .
1,"the real problems that most adults face in marriage , which is why i loved him , hidden between silly and crude stories ."
1,heroes !
0,without the fact that the movie exists
1,sharply !
0,of course the whole thing of the shaggy dog story is going to get lost and that 's classic nowheresville in all ways .
0,at times a drought
0,after all they 've been recycled more times than i would have thought .
1,"this area speaks with wit and originality , which suggests the fourth feature ."
0,the 40 million version of the game
1,beautiful minimalist .
1,cross swords and fight your best .
0,the fringe of feminist conspiracy theories
1,proof again that he 's not losing his temper and delivers an excellent performance in a admittedly weak movie .
0,with disappointment
0,a terrible thing
1,"a muddle filled with bloody beauty , the most beautiful thing we 've ever had from scorsese ."
0,a lot of unnecessary
1,beautiful and beautiful .
0,"a fabricated , well worn situation"
0,in the dojo
0,"for poor ben bratt , fame would not come if mapquest had sent him directions on his way ."
1,a subtle and touching room like your son .
1,the beginning of legend .
0,with much less complexity and
1,a rich vein of fun stuff .
0,without obvious joy
0,a blurry digital photo
0,"in the middle of a bitter little film , a survey of the void beneath the relentless vigor of 1920s films , the film ends with a ' what 's the point ? '"
0,"despite ford 's and neeson 's great interest , but it 's not an exciting film . . ."
1,a hell of a lot of fun .
0,about the characters we 've never felt before
0,the poor guy at this
0,"in a situation where there 's a merger and redundancies , a corporate circus is a recording industry"
1,"the story is woven smoothly , magnificent aerial shots are breathtaking , and overall it is an amazing experience ."
0,among the most famous disappointments i
0,like a cruel deception carried out by people with a low intellect who reactionary ideas about women and utterly lack of sympathy for them .
1,looks fresh .
0,into history 's dustbin
0,"as the manager , eastwood 's out of the game . . ."
1,pay homage to the turntable .
0,with weakness and . . .
0,skip the shit . . .
0,without a lot of laughs and even less of a surprise
1,film proof of the power of love to help people overcome unimaginable horrors .
1,pure joy .
1,.
1,life 's not much fun without a lot of highs and lows .
1,an authentic and historic story .
1,deserved tribute !
